會員編號,年齡,性別,居住地區,會員等級,累積消費次數
M00706,31,男,台中市,一般會員,41
M00707,35,男,台南市,一般會員,41
M00708,27,女,高雄市,一般會員,35
M00709,33,女,台南市,一般會員,3
M00710,37,女,新北市,黃金會員,24
M00711,31,男,台南市,白金會員,32
M00712,42,女,台中市,一般會員,11
M00713,50,男,台北市,黃金會員,20
M00714,41,女,新北市,黃金會員,19
M00715,42,男,台中市,鑽石VIP,45
M00716,25,男,新北市,一般會員,35
M00717,40,女,高雄市,黃金會員,27
M00718,35,女,新北市,白金會員,37
M00719,37,男,桃園市,黃金會員,13
M00720,38,女,台北市,黃金會員,29
M00721,28,女,台北市,一般會員,50
M00722,31,男,台北市,黃金會員,26
M00723,37,女,台南市,黃金會員,50
M00724,25,女,台北市,一般會員,34
M00725,29,女,高雄市,黃金會員,40
M00726,27,女,台北市,一般會員,12
M00727,35,女,台北市,一般會員,27
M00728,42,女,台南市,一般會員,25
M00729,32,男,新北市,一般會員,49
M00730,57,不透露,台中市,白金會員,1
M00731,49,男,台北市,黃金會員,33
M00732,29,女,台南市,一般會員,40
M00733,25,女,高雄市,黃金會員,14
M00734,35,女,新北市,一般會員,26
M00735,38,女,新北市,鑽石VIP,38
M00736,29,女,台北市,一般會員,11
M00737,58,女,台北市,黃金會員,29
M00738,20,女,桃園市,黃金會員,46
M00739,42,女,高雄市,白金會員,5
M00740,22,女,台中市,一般會員,21
M00741,44,不透露,台南市,一般會員,9
M00742,44,女,台南市,黃金會員,37
M00743,54,女,台北市,一般會員,3
M00744,35,男,台北市,一般會員,16
M00745,31,女,台北市,一般會員,27
M00746,37,女,台北市,一般會員,2
M00747,32,女,高雄市,一般會員,34
M00748,44,女,新竹市,一般會員,44
M00749,21,女,台中市,黃金會員,12
M00750,34,女,台中市,一般會員,48
M00751,51,不透露,台北市,黃金會員,32
M00752,34,男,新北市,一般會員,23
M00753,24,女,台北市,黃金會員,30
M00754,43,女,台北市,黃金會員,20
M00755,29,不透露,台中市,白金會員,8
M00756,56,女,新竹市,一般會員,2
M00757,30,男,桃園市,黃金會員,14
M00758,34,女,台北市,一般會員,37
M00759,44,女,新竹市,一般會員,12
M00760,36,女,新北市,一般會員,11
M00761,28,女,台北市,黃金會員,11
M00762,32,女,新北市,白金會員,25
M00763,49,女,桃園市,一般會員,9
M00764,31,男,台北市,黃金會員,23
M00765,21,不透露,台中市,一般會員,12
M00766,30,男,桃園市,黃金會員,43
M00767,27,女,桃園市,一般會員,18
M00768,22,女,台北市,黃金會員,22
M00769,29,女,台中市,一般會員,40
M00770,29,女,台北市,一般會員,19
M00771,22,女,台北市,一般會員,35
M00772,21,男,新竹市,黃金會員,3
M00773,26,男,新北市,一般會員,10
M00774,40,女,台北市,一般會員,32
M00775,42,男,台北市,一般會員,47
M00776,28,女,新北市,黃金會員,13
M00777,54,男,台北市,白金會員,38
M00778,38,男,台南市,黃金會員,33
M00779,36,女,新北市,鑽石VIP,47
M00780,25,男,高雄市,一般會員,11
M00781,24,女,新竹市,黃金會員,4
M00782,25,女,新北市,黃金會員,27
M00783,26,男,新竹市,一般會員,17
M00784,36,女,新北市,一般會員,19
M00785,56,女,台北市,一般會員,17
M00786,36,女,新北市,一般會員,44
M00787,32,女,新北市,黃金會員,34
M00788,21,女,台中市,一般會員,16
M00789,29,女,台北市,一般會員,18
M00790,34,男,台南市,一般會員,10
M00791,26,男,台中市,一般會員,40
M00792,34,男,新北市,黃金會員,2
M00793,19,女,新北市,一般會員,6
M00794,28,男,新北市,一般會員,7
M00795,18,男,新竹市,黃金會員,24
M00796,42,女,新北市,一般會員,23
M00797,43,女,新北市,一般會員,32
M00798,22,女,桃園市,一般會員,4
M00799,37,女,台北市,一般會員,19
M00800,34,女,桃園市,一般會員,41
M00801,43,女,台北市,白金會員,6
M00802,26,女,高雄市,白金會員,31
M00803,44,女,新竹市,黃金會員,19
M00804,35,女,台中市,白金會員,49
M00805,43,女,台南市,白金會員,46
M00806,49,女,新北市,黃金會員,49
M00807,36,女,台北市,白金會員,45
M00808,32,女,新竹市,一般會員,48
M00809,25,女,台中市,一般會員,40
M00810,32,男,新北市,一般會員,39
M00811,46,男,高雄市,黃金會員,32
M00812,26,男,新北市,一般會員,27
M00813,43,女,新北市,黃金會員,27
M00814,33,女,台北市,一般會員,41
M00815,20,女,新北市,黃金會員,23
M00816,25,女,台中市,白金會員,16
M00817,41,女,新北市,黃金會員,42
M00818,57,女,新北市,一般會員,36
M00819,24,女,新北市,白金會員,26
M00820,25,女,台中市,黃金會員,33
M00821,33,女,桃園市,黃金會員,47
M00822,58,女,台北市,黃金會員,31
M00823,37,女,新北市,黃金會員,11
M00824,32,女,台北市,黃金會員,16
M00825,49,女,台北市,白金會員,1
M00826,48,女,台中市,黃金會員,37
M00827,40,男,台北市,一般會員,33
M00828,44,女,新北市,黃金會員,39
M00829,38,男,高雄市,鑽石VIP,48
M00830,42,男,台北市,白金會員,29
M00831,34,男,高雄市,黃金會員,4
M00832,33,女,台中市,黃金會員,11
M00833,47,女,新北市,一般會員,19
M00834,19,女,台北市,一般會員,33
M00835,37,男,台北市,白金會員,30
M00836,44,男,新北市,鑽石VIP,41
M00837,40,女,新北市,一般會員,10
M00838,34,女,台中市,白金會員,30
M00839,19,男,桃園市,黃金會員,1
M00840,44,女,台中市,白金會員,18
M00841,42,男,台中市,一般會員,10
M00842,40,女,桃園市,一般會員,22
M00843,41,女,新北市,鑽石VIP,50
M00844,34,男,新北市,一般會員,11
M00845,40,女,新北市,一般會員,11
M00846,26,女,台北市,黃金會員,21
M00847,25,男,台北市,一般會員,17
M00848,19,女,台北市,一般會員,44
M00849,30,女,台北市,一般會員,44
M00850,46,男,桃園市,一般會員,15
M00851,29,男,台北市,一般會員,11
M00852,31,不透露,台北市,一般會員,20
M00853,40,女,高雄市,一般會員,24
M00854,35,女,新竹市,一般會員,35
M00855,37,女,新北市,白金會員,18
M00856,21,女,台北市,黃金會員,33
M00857,52,男,新竹市,一般會員,35
M00858,33,不透露,台南市,一般會員,34
M00859,27,女,台中市,白金會員,39
M00860,56,女,新竹市,一般會員,7
M00861,18,女,台北市,黃金會員,41
M00862,59,男,台南市,黃金會員,35
M00863,52,女,高雄市,黃金會員,3
M00864,22,女,新北市,黃金會員,36
M00865,39,女,台北市,一般會員,16
M00866,45,女,台北市,一般會員,35
M00867,33,男,新北市,黃金會員,8
M00868,23,女,新北市,一般會員,50
M00869,37,不透露,台北市,黃金會員,49
M00870,42,男,台中市,一般會員,18
M00871,29,女,台中市,一般會員,29
M00872,30,女,台北市,黃金會員,40
M00873,45,女,台北市,一般會員,35
M00874,35,男,新北市,白金會員,23
M00875,28,男,新北市,一般會員,35
M00876,53,女,台中市,一般會員,21
M00877,18,女,新北市,黃金會員,29
M00878,42,女,台北市,一般會員,24
M00879,33,男,台南市,一般會員,20
M00880,50,女,新北市,鑽石VIP,29
M00881,29,男,台北市,一般會員,10
M00882,25,女,新北市,一般會員,31
M00883,50,男,台中市,一般會員,1
M00884,26,不透露,新北市,黃金會員,35
M00885,52,男,台南市,白金會員,26
M00886,34,男,台南市,黃金會員,26
M00887,34,女,台南市,一般會員,6
M00888,33,女,台北市,黃金會員,47
M00889,52,男,新北市,白金會員,11
M00890,28,不透露,台北市,黃金會員,18
M00891,31,女,台南市,黃金會員,11
M00892,28,男,高雄市,黃金會員,1
M00893,34,男,高雄市,一般會員,32
M00894,43,女,台北市,一般會員,27
M00895,28,女,台北市,白金會員,27
M00896,34,不透露,桃園市,黃金會員,35
M00897,24,男,台北市,一般會員,14
M00898,42,女,新北市,白金會員,34
M00899,41,不透露,新北市,鑽石VIP,17
M00900,31,女,台南市,白金會員,38
M00901,44,不透露,高雄市,一般會員,18
M00902,48,女,新北市,一般會員,11
M00903,30,男,新竹市,一般會員,32
M00904,19,女,新北市,一般會員,18
M00905,29,女,新北市,一般會員,18
M00906,52,男,新竹市,一般會員,43
M00907,19,女,新北市,一般會員,29
M00908,30,女,台北市,白金會員,27
M00909,42,女,台北市,白金會員,2
M00910,36,男,新北市,白金會員,13
M00911,50,男,台北市,一般會員,14
M00912,24,女,新北市,黃金會員,39
M00913,60,不透露,新北市,一般會員,41
M00914,55,女,台北市,一般會員,39
M00915,23,女,新北市,一般會員,36
M00916,53,女,高雄市,一般會員,16
M00917,42,男,新北市,一般會員,9
M00918,33,不透露,台北市,鑽石VIP,5
M00919,38,女,新北市,一般會員,31
M00920,33,男,新北市,一般會員,8
M00921,35,女,新竹市,白金會員,17
M00922,34,男,台北市,白金會員,49
M00923,32,男,台北市,一般會員,11
M00924,26,女,台中市,一般會員,20
M00925,43,男,新竹市,一般會員,16
M00926,42,女,台南市,一般會員,39
M00927,41,女,新北市,一般會員,19
M00928,47,女,台北市,一般會員,13
M00929,19,女,台中市,白金會員,41
M00930,37,不透露,新北市,白金會員,44
M00931,39,女,台北市,一般會員,40
M00932,33,男,台南市,黃金會員,12
M00933,40,女,台中市,白金會員,10
M00934,28,女,新竹市,一般會員,38
M00935,44,女,高雄市,白金會員,36
M00936,28,女,新北市,白金會員,5
M00937,27,女,台中市,一般會員,20
M00938,34,女,台中市,一般會員,18
M00939,36,不透露,台北市,黃金會員,21
M00940,18,男,高雄市,黃金會員,46
M00941,20,不透露,台北市,黃金會員,3
M00942,44,不透露,新北市,黃金會員,8
M00943,42,女,台中市,黃金會員,22
M00944,32,女,台北市,鑽石VIP,49
M00945,30,女,台南市,一般會員,50
M00946,44,女,新北市,一般會員,49
M00947,25,女,台北市,一般會員,47
M00948,33,女,台北市,黃金會員,25
M00949,40,女,新北市,黃金會員,30
M00950,26,男,台南市,黃金會員,29
M00951,18,女,新北市,一般會員,47
M00952,19,男,台南市,鑽石VIP,9
M00953,27,女,台北市,白金會員,21
M00954,60,男,桃園市,一般會員,32
M00955,30,男,新北市,一般會員,18
M00956,40,男,桃園市,黃金會員,15
M00957,34,不透露,桃園市,一般會員,33
M00958,37,女,台北市,黃金會員,29
M00959,22,女,台南市,一般會員,8
M00960,26,女,新北市,一般會員,33
M00961,27,女,台中市,黃金會員,15
M00962,29,女,新北市,黃金會員,1
M00963,19,女,台北市,一般會員,19
M00964,37,不透露,桃園市,鑽石VIP,18
M00965,50,女,台北市,一般會員,41
M00966,26,女,台南市,一般會員,40
M00967,30,男,新北市,黃金會員,35
M00968,27,女,台北市,一般會員,11
M00969,33,不透露,台南市,一般會員,18
M00970,51,女,台中市,一般會員,26
M00971,26,男,台中市,鑽石VIP,49
M00972,21,男,桃園市,黃金會員,42
M00973,26,不透露,新北市,黃金會員,26
M00974,34,女,新北市,一般會員,49
M00975,18,女,高雄市,一般會員,26
M00976,18,女,新北市,一般會員,20
M00977,30,女,台北市,一般會員,12
M00978,40,女,台中市,一般會員,14
M00979,29,女,台南市,鑽石VIP,31
M00980,42,不透露,台北市,白金會員,28
M00981,53,男,台中市,黃金會員,11
M00982,22,女,高雄市,一般會員,22
M00983,21,女,台北市,一般會員,15
M00984,25,女,台北市,黃金會員,25
M00985,40,男,桃園市,一般會員,39
M00986,20,女,台南市,一般會員,42
M00987,40,男,新北市,白金會員,21
M00988,47,女,桃園市,一般會員,32
M00989,27,女,台南市,一般會員,47
M00990,55,女,新北市,鑽石VIP,7
M00991,43,女,新竹市,一般會員,2
M00992,40,男,新北市,一般會員,27
M00993,33,女,高雄市,一般會員,12
M00994,37,女,台中市,白金會員,23
M00995,41,女,新北市,一般會員,15
M00996,32,女,台中市,一般會員,36
M00997,27,男,台北市,一般會員,37
M00998,36,女,高雄市,鑽石VIP,15
M00999,21,不透露,台中市,一般會員,1
M01000,24,女,桃園市,一般會員,9
M01001,27,男,新北市,黃金會員,39
M01002,21,不透露,台北市,白金會員,15
M01003,50,女,台中市,一般會員,22
M01004,39,女,新北市,黃金會員,32
M01005,30,不透露,台北市,一般會員,8
M01006,41,女,新北市,一般會員,18
M01007,32,女,新北市,黃金會員,6
M01008,30,女,台中市,一般會員,3
M01009,25,男,台北市,一般會員,35
M01010,29,女,台北市,黃金會員,47
M01011,34,男,台北市,一般會員,15
M01012,31,女,新北市,白金會員,28
M01013,28,男,高雄市,一般會員,39
M01014,34,女,新北市,一般會員,28
M01015,34,女,新北市,一般會員,6
M01016,44,女,台北市,黃金會員,34
M01017,42,男,桃園市,白金會員,32
M01018,27,女,台北市,黃金會員,11
M01019,29,女,新北市,黃金會員,9
M01020,43,女,新竹市,一般會員,4
M01021,19,女,台北市,白金會員,29
M01022,29,女,台北市,一般會員,5
M01023,28,女,新北市,鑽石VIP,12
M01024,33,女,台南市,黃金會員,19
M01025,39,男,台北市,鑽石VIP,48
M01026,59,女,新北市,黃金會員,46
M01027,38,男,台北市,黃金會員,36
M01028,35,男,新北市,一般會員,33
M01029,29,女,高雄市,白金會員,10
M01030,43,女,高雄市,一般會員,30
M01031,38,女,台中市,黃金會員,41
M01032,43,女,台南市,一般會員,7
M01033,27,男,新北市,白金會員,1
M01034,26,男,新北市,一般會員,41
M01035,28,男,桃園市,一般會員,14
M01036,24,女,台中市,白金會員,20
M01037,43,男,台北市,一般會員,27
M01038,25,女,台北市,一般會員,28
M01039,28,女,高雄市,黃金會員,29
M01040,41,女,高雄市,黃金會員,27
M01041,32,女,新北市,黃金會員,25
M01042,43,男,台中市,黃金會員,7
M01043,27,女,新北市,一般會員,15
M01044,27,女,台北市,一般會員,18
M01045,33,男,新竹市,一般會員,37
M01046,38,女,高雄市,一般會員,14
M01047,42,女,台北市,一般會員,2
M01048,18,女,台北市,黃金會員,21
M01049,38,女,台南市,鑽石VIP,10
M01050,21,女,台北市,一般會員,27
M01051,26,男,桃園市,一般會員,8
M01052,26,男,新北市,黃金會員,45
M01053,43,女,新北市,一般會員,12
M01054,57,女,新北市,黃金會員,19
M01055,32,男,新北市,白金會員,23
M01056,29,女,新竹市,黃金會員,21
M01057,28,男,桃園市,白金會員,42
M01058,34,女,台南市,鑽石VIP,36
M01059,19,女,台北市,鑽石VIP,48
M01060,33,女,高雄市,一般會員,38
M01061,42,男,新竹市,一般會員,19
M01062,43,女,台中市,一般會員,3
M01063,34,女,台北市,一般會員,21
M01064,33,男,桃園市,一般會員,26
M01065,44,男,新竹市,鑽石VIP,26
M01066,51,女,台南市,一般會員,43
M01067,22,男,台北市,白金會員,23
M01068,27,男,新北市,一般會員,14
M01069,34,女,新北市,一般會員,15
M01070,25,男,台中市,一般會員,37
M01071,35,不透露,新竹市,一般會員,19
M01072,18,女,台南市,白金會員,44
M01073,19,女,高雄市,一般會員,41
M01074,34,女,台北市,一般會員,8
M01075,31,男,台北市,白金會員,12
M01076,19,男,新北市,黃金會員,17
M01077,54,男,台南市,黃金會員,20
M01078,60,女,台北市,一般會員,29
M01079,59,男,台北市,一般會員,17
M01080,39,男,台北市,一般會員,15
M01081,38,女,台北市,黃金會員,17
M01082,31,女,台中市,白金會員,14
M01083,18,女,桃園市,一般會員,25
M01084,46,男,台北市,黃金會員,47
M01085,29,女,台北市,一般會員,20
M01086,21,女,台南市,黃金會員,36
M01087,38,男,新竹市,一般會員,41
M01088,57,女,台南市,黃金會員,17
M01089,29,男,台北市,一般會員,17
M01090,25,女,高雄市,黃金會員,8
M01091,40,男,台中市,白金會員,50
M01092,33,女,台南市,白金會員,36
M01093,18,女,台北市,白金會員,26
M01094,18,女,台北市,一般會員,21
M01095,33,男,高雄市,一般會員,32
M01096,41,男,新北市,鑽石VIP,29
M01097,34,女,新北市,黃金會員,26
M01098,33,女,新北市,黃金會員,23
M01099,37,男,台中市,白金會員,25
M01100,29,女,台北市,黃金會員,38
M01101,25,男,新北市,一般會員,14
M01102,36,女,台北市,一般會員,25
M01103,31,女,台中市,黃金會員,39
M01104,36,女,高雄市,一般會員,15
M01105,41,男,高雄市,一般會員,44
M01106,30,女,台北市,黃金會員,20
M01107,26,女,台北市,一般會員,20
M01108,32,男,台北市,一般會員,31
M01109,21,女,桃園市,鑽石VIP,45
M01110,26,女,台中市,黃金會員,32
M01111,37,女,新北市,一般會員,40
M01112,30,女,高雄市,一般會員,12
M01113,37,女,台中市,白金會員,20
M01114,28,男,台北市,黃金會員,7
M01115,29,男,台南市,黃金會員,20
M01116,18,女,台南市,黃金會員,19
M01117,27,男,台北市,一般會員,18
M01118,37,女,台南市,黃金會員,5
M01119,43,女,台北市,鑽石VIP,28
M01120,40,男,新竹市,白金會員,11
M01121,29,男,新北市,黃金會員,50
M01122,20,女,新北市,黃金會員,5
M01123,33,女,高雄市,黃金會員,15
M01124,32,男,台北市,一般會員,43
M01125,40,女,台北市,鑽石VIP,22
M01126,35,女,新北市,一般會員,9
M01127,33,男,台南市,黃金會員,42
M01128,42,男,新北市,一般會員,50
M01129,21,男,台南市,白金會員,33
M01130,33,男,台中市,黃金會員,18
M01131,22,女,台中市,一般會員,35
M01132,26,男,台中市,黃金會員,31
M01133,26,女,高雄市,黃金會員,22
M01134,26,男,桃園市,黃金會員,2
M01135,21,女,台南市,黃金會員,10
M01136,40,女,台北市,一般會員,34
M01137,43,女,新竹市,一般會員,10
M01138,29,女,新北市,一般會員,16
M01139,22,男,桃園市,一般會員,24
M01140,25,女,台中市,一般會員,19
M01141,24,男,新北市,一般會員,21
M01142,20,男,台中市,一般會員,49
M01143,42,男,台北市,一般會員,13
M01144,31,女,台南市,黃金會員,40
M01145,28,男,台中市,白金會員,44
M01146,20,女,桃園市,白金會員,8
M01147,59,女,新北市,一般會員,10
M01148,28,女,台北市,黃金會員,42
M01149,26,女,台北市,黃金會員,18
M01150,32,女,台中市,一般會員,12
M01151,38,男,台中市,黃金會員,49
M01152,50,女,台南市,一般會員,1
M01153,29,男,台北市,一般會員,15
M01154,52,女,台北市,黃金會員,38
M01155,40,男,新北市,白金會員,39
M01156,40,男,台北市,白金會員,6
M01157,27,女,高雄市,白金會員,48
M01158,33,女,台南市,一般會員,45
M01159,22,女,台中市,一般會員,42
M01160,30,女,台北市,黃金會員,5
M01161,32,女,台中市,一般會員,12
M01162,49,男,新北市,白金會員,38
M01163,32,男,台南市,黃金會員,25
M01164,58,女,台北市,一般會員,48
M01165,29,女,新北市,白金會員,1
M01166,58,男,台中市,一般會員,2
M01167,26,女,台北市,黃金會員,49
M01168,25,男,台北市,黃金會員,40
M01169,32,男,新北市,一般會員,5
M01170,23,女,台北市,黃金會員,32
M01171,58,女,新北市,一般會員,11
M01172,23,女,新北市,白金會員,23
M01173,28,女,台南市,白金會員,33
M01174,40,女,台南市,一般會員,19
M01175,38,女,台北市,黃金會員,3
M01176,33,女,台中市,鑽石VIP,43
M01177,42,女,台北市,一般會員,10
M01178,39,女,新北市,一般會員,4
M01179,32,女,台北市,黃金會員,3
M01180,20,女,新北市,白金會員,2
M01181,59,男,台北市,一般會員,32
M01182,44,男,台南市,一般會員,28
M01183,30,男,台北市,黃金會員,25
M01184,48,女,台北市,白金會員,12
M01185,27,男,新北市,黃金會員,42
M01186,40,女,台中市,一般會員,5
M01187,38,男,台中市,一般會員,7
M01188,26,男,高雄市,一般會員,20
M01189,36,女,高雄市,白金會員,1
M01190,33,不透露,台北市,黃金會員,45
M01191,44,男,桃園市,一般會員,31
M01192,36,女,台北市,一般會員,33
M01193,31,女,台中市,黃金會員,11
M01194,56,男,台北市,一般會員,47
M01195,32,女,台中市,一般會員,27
M01196,45,不透露,台北市,黃金會員,48
M01197,27,男,台南市,一般會員,3
M01198,43,女,新北市,黃金會員,40
M01199,24,女,新北市,一般會員,10
M01200,32,女,高雄市,黃金會員,33
M01201,54,女,新北市,一般會員,30
M01202,26,男,新北市,黃金會員,21
M01203,35,女,新北市,一般會員,38
M01204,24,女,新竹市,白金會員,32
M01205,30,女,台北市,一般會員,25
M01206,23,女,台北市,黃金會員,13
M01207,41,女,台北市,白金會員,18
M01208,18,女,高雄市,黃金會員,23
M01209,55,男,新竹市,黃金會員,31
M01210,30,男,台北市,一般會員,43
M01211,25,女,台北市,黃金會員,44
M01212,48,女,台中市,白金會員,23
M01213,52,女,台中市,白金會員,49
M01214,28,男,台北市,黃金會員,35
M01215,29,女,台北市,一般會員,44
M01216,37,女,台中市,黃金會員,12
M01217,29,不透露,桃園市,一般會員,32
M01218,31,女,高雄市,黃金會員,50
M01219,38,男,台南市,白金會員,5
M01220,41,女,台北市,一般會員,40
M01221,33,男,台北市,黃金會員,50
M01222,42,女,高雄市,黃金會員,35
M01223,19,男,台北市,一般會員,49
M01224,25,女,台中市,一般會員,23
M01225,30,男,台北市,一般會員,31
M01226,44,女,台北市,黃金會員,1
M01227,58,男,新北市,黃金會員,50
M01228,54,男,台南市,黃金會員,18
M01229,47,女,台北市,一般會員,27
M01230,34,女,台北市,黃金會員,3
M01231,23,男,台南市,黃金會員,16
M01232,35,女,台中市,白金會員,2
M01233,33,男,台中市,一般會員,4
M01234,18,女,桃園市,鑽石VIP,27
M01235,24,男,台中市,一般會員,26
M01236,41,男,新北市,黃金會員,42
M01237,27,女,高雄市,白金會員,12
M01238,18,女,台中市,白金會員,1
M01239,21,男,台中市,一般會員,50
M01240,40,女,新竹市,黃金會員,38
M01241,52,女,台南市,一般會員,44
M01242,35,男,台中市,白金會員,27
M01243,37,女,新北市,一般會員,12
M01244,25,女,台中市,一般會員,22
M01245,28,女,台北市,黃金會員,49
M01246,40,女,台北市,一般會員,15
M01247,33,女,台北市,一般會員,27
M01248,44,女,台北市,一般會員,35
M01249,33,男,新北市,一般會員,12
M01250,18,女,台北市,一般會員,37
M01251,37,女,新北市,鑽石VIP,7
M01252,48,男,台北市,黃金會員,12
M01253,41,男,台北市,一般會員,46
M01254,36,女,新北市,白金會員,28
M01255,35,女,桃園市,一般會員,23
M01256,26,女,新北市,一般會員,26
M01257,27,男,台中市,一般會員,1
M01258,34,女,台中市,一般會員,39
M01259,31,女,台南市,白金會員,23
M01260,46,女,台南市,一般會員,42
M01261,24,女,台北市,一般會員,28
M01262,26,女,台南市,一般會員,19
M01263,19,女,台北市,黃金會員,20
M01264,20,男,台南市,一般會員,17
M01265,26,女,新北市,一般會員,2
M01266,31,女,台北市,一般會員,43
M01267,39,女,台南市,一般會員,40
M01268,36,女,台北市,一般會員,49
M01269,33,女,台中市,一般會員,21
M01270,45,女,高雄市,黃金會員,50
M01271,46,女,高雄市,一般會員,14
M01272,30,男,台北市,黃金會員,36
M01273,33,男,台中市,一般會員,35
M01274,22,男,台北市,一般會員,49
M01275,34,男,台北市,白金會員,41
M01276,44,不透露,新竹市,一般會員,28
M01277,18,男,台中市,一般會員,15
M01278,36,女,台北市,一般會員,11
M01279,43,男,台北市,一般會員,12
M01280,30,女,新北市,一般會員,3
M01281,32,女,新北市,黃金會員,50
M01282,32,女,台北市,黃金會員,4
M01283,27,女,新北市,白金會員,42
M01284,25,女,台南市,一般會員,9
M01285,30,女,高雄市,一般會員,35
M01286,18,男,台南市,黃金會員,18
M01287,43,女,新北市,一般會員,45
M01288,39,不透露,台北市,一般會員,17
M01289,24,男,台南市,一般會員,40
M01290,20,女,台南市,白金會員,42
M01291,31,女,高雄市,一般會員,17
M01292,30,女,新北市,一般會員,49
M01293,43,女,台南市,白金會員,10
M01294,40,女,台北市,白金會員,24
M01295,38,女,台中市,一般會員,3
M01296,32,女,台中市,一般會員,34
M01297,35,女,桃園市,一般會員,12
M01298,31,男,新北市,白金會員,7
M01299,30,不透露,台南市,鑽石VIP,30
M01300,43,女,台中市,一般會員,43
M01301,29,女,台中市,鑽石VIP,11
M01302,41,男,高雄市,一般會員,19
M01303,36,不透露,新北市,白金會員,32
M01304,21,男,台中市,黃金會員,27
M01305,22,女,桃園市,一般會員,47
M01306,27,女,新北市,黃金會員,29
M01307,33,女,新北市,黃金會員,6
M01308,44,女,高雄市,一般會員,3
M01309,30,男,台南市,一般會員,30
M01310,44,女,高雄市,黃金會員,11
M01311,27,男,台北市,黃金會員,22
M01312,33,女,桃園市,一般會員,46
M01313,43,女,台北市,黃金會員,1
M01314,38,女,台中市,白金會員,32
M01315,31,不透露,台南市,一般會員,48
M01316,26,女,台北市,一般會員,20
M01317,38,女,台南市,一般會員,11
M01318,28,女,新北市,一般會員,14
M01319,49,女,新北市,黃金會員,45
M01320,40,不透露,新北市,一般會員,12
M01321,33,女,新北市,一般會員,39
M01322,27,女,台北市,一般會員,35
M01323,24,女,高雄市,一般會員,41
M01324,26,女,台南市,黃金會員,33
M01325,39,女,桃園市,黃金會員,35
M01326,28,女,台中市,黃金會員,18
M01327,43,男,桃園市,白金會員,32
M01328,38,女,台北市,一般會員,9
M01329,22,女,台北市,一般會員,28
M01330,34,女,高雄市,黃金會員,33
M01331,44,男,台中市,黃金會員,35
M01332,25,女,新竹市,黃金會員,22
M01333,32,男,台北市,黃金會員,24
M01334,34,男,新北市,一般會員,33
M01335,28,男,台中市,一般會員,21
M01336,27,女,新北市,一般會員,8
M01337,51,女,台中市,一般會員,34
M01338,38,女,新北市,一般會員,1
M01339,31,女,台中市,一般會員,39
M01340,20,女,高雄市,黃金會員,32
M01341,38,女,台北市,黃金會員,18
M01342,55,女,台北市,一般會員,5
M01343,20,男,桃園市,一般會員,42
M01344,27,女,新竹市,黃金會員,47
M01345,30,女,台北市,白金會員,21
M01346,56,男,桃園市,黃金會員,22
M01347,44,女,台北市,鑽石VIP,22
M01348,28,女,新北市,鑽石VIP,32
M01349,26,男,台北市,一般會員,6
M01350,35,男,台南市,一般會員,36
M01351,40,女,台北市,一般會員,23
M01352,44,女,台北市,鑽石VIP,30
M01353,34,男,台北市,黃金會員,30
M01354,34,男,桃園市,一般會員,18
M01355,20,男,台北市,一般會員,20
M01356,48,女,台中市,黃金會員,43
M01357,37,男,台北市,鑽石VIP,11
M01358,27,女,台中市,一般會員,33
M01359,26,女,台中市,黃金會員,12
M01360,31,不透露,台北市,一般會員,36
M01361,33,男,台南市,一般會員,21
M01362,22,女,新竹市,黃金會員,25
M01363,27,女,台北市,一般會員,25
M01364,25,女,台中市,黃金會員,34
M01365,60,男,新北市,黃金會員,41
M01366,51,男,台北市,一般會員,39
M01367,29,男,新北市,一般會員,40
M01368,28,男,台北市,一般會員,25
M01369,26,女,台南市,一般會員,4
M01370,22,女,新北市,黃金會員,8
M01371,54,女,台北市,一般會員,38
M01372,48,女,新北市,白金會員,9
M01373,37,不透露,新竹市,黃金會員,43
M01374,30,女,新竹市,黃金會員,1
M01375,34,女,台北市,黃金會員,37
M01376,20,女,高雄市,鑽石VIP,4
M01377,44,女,台中市,黃金會員,18
M01378,34,男,台中市,一般會員,22
M01379,29,女,台中市,一般會員,27
M01380,40,男,高雄市,一般會員,19
M01381,19,女,台北市,鑽石VIP,10
M01382,30,男,新北市,一般會員,16
M01383,46,不透露,新北市,黃金會員,15
M01384,35,男,台中市,黃金會員,28
M01385,30,女,新北市,一般會員,15
M01386,51,女,台中市,黃金會員,20
M01387,36,男,新竹市,一般會員,21
M01388,28,女,台北市,一般會員,35
M01389,20,男,台中市,鑽石VIP,41
M01390,27,男,新北市,黃金會員,19
M01391,49,女,台南市,黃金會員,4
M01392,40,女,新竹市,一般會員,36
M01393,28,女,桃園市,一般會員,25
M01394,35,男,新北市,黃金會員,22
M01395,29,女,台中市,一般會員,13
M01396,27,女,台北市,一般會員,25
M01397,43,男,新北市,白金會員,27
M01398,30,男,桃園市,一般會員,14
M01399,42,女,台北市,黃金會員,42
M01400,27,女,高雄市,黃金會員,39
M01401,43,男,台北市,一般會員,42
M01402,31,男,台北市,一般會員,20
M01403,32,男,台北市,一般會員,37
M01404,25,女,台中市,一般會員,8
M01405,44,男,高雄市,一般會員,5
M01406,19,男,新北市,一般會員,10
M01407,36,女,新北市,黃金會員,26
M01408,30,女,台北市,黃金會員,16
M01409,30,女,新竹市,白金會員,38
M01410,30,男,高雄市,一般會員,34
M01411,41,男,台北市,黃金會員,25
