客訴單號,會員等級,客訴內容,處理狀態,建檔日期
TK-48741,VVIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-14 17:00
TK-80718,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,處理中,2026-05-11 09:00
TK-70976,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-11 15:00
TK-32666,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-03 04:00
TK-43891,VVIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-08 08:00
TK-31482,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,已結案,2026-05-07 01:00
TK-55654,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-14 07:00
TK-95644,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,已結案,2026-05-10 01:00
TK-20133,VVIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-08 13:00
TK-82095,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-12 08:00
TK-80659,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-12 04:00
TK-18318,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-04 11:00
TK-83358,VVIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-11 07:00
TK-45424,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-15 05:00
TK-88416,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-13 14:00
TK-69596,VVIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,已結案,2026-05-12 21:00
TK-43560,VVIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,處理中,2026-05-02 02:00
TK-39249,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-15 10:00
TK-89152,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-04 10:00
TK-14000,VVIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-02 09:00
TK-33843,VIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-02 14:00
TK-18052,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,已結案,2026-05-13 01:00
TK-32813,VVIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-13 07:00
TK-38299,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-02 02:00
TK-36150,VVIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-11 06:00
TK-51587,VVIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,已結案,2026-05-09 13:00
TK-80366,VVIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-07 18:00
TK-84241,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-14 12:00
TK-44253,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-07 07:00
TK-11030,VVIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-08 01:00
TK-74387,VVIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-14 21:00
TK-12015,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-01 10:00
TK-96292,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-08 06:00
TK-85019,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-15 04:00
TK-92718,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-09 08:00
TK-36458,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-02 11:00
TK-90720,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,未處理,2026-05-03 10:00
TK-13331,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-14 10:00
TK-23134,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-12 16:00
TK-85080,VVIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-10 07:00
TK-22661,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-01 01:00
TK-86753,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-15 00:00
TK-59652,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-14 00:00
TK-17473,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,已結案,2026-05-10 05:00
TK-11654,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,處理中,2026-05-07 07:00
TK-61838,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,未處理,2026-05-07 19:00
TK-29703,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-02 06:00
TK-28919,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,已結案,2026-05-05 14:00
TK-74364,VVIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-05 21:00
TK-61335,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-15 18:00
TK-19266,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-11 19:00
TK-23452,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,處理中,2026-05-09 13:00
TK-60463,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-15 13:00
TK-73403,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-14 22:00
TK-22420,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,處理中,2026-05-10 04:00
TK-32491,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-01 15:00
TK-82428,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-02 03:00
TK-35927,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-08 09:00
TK-40339,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-14 19:00
TK-55522,VIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-13 18:00
TK-21279,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-11 05:00
TK-72916,VVIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,處理中,2026-05-14 03:00
TK-88911,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-03 02:00
TK-75070,VVIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-04 16:00
TK-24382,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,已結案,2026-05-11 15:00
TK-74697,VVIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-08 05:00
TK-61977,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-09 23:00
TK-28340,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-02 12:00
TK-91298,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-01 14:00
TK-13125,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-13 13:00
TK-63056,一般會員,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-15 15:00
TK-23817,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,未處理,2026-05-01 16:00
TK-84752,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-14 02:00
TK-15574,VVIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-06 16:00
TK-19450,VIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-06 22:00
TK-41146,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,處理中,2026-05-03 07:00
TK-20332,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-05 03:00
TK-18233,VVIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-13 14:00
TK-97149,一般會員,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-10 05:00
TK-25364,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-12 17:00
TK-57215,VVIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-04 09:00
TK-19949,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,未處理,2026-05-11 02:00
TK-15826,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-05 18:00
TK-65059,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,處理中,2026-05-13 16:00
TK-49274,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,已結案,2026-05-07 21:00
TK-59627,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-02 15:00
TK-81391,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,處理中,2026-05-12 12:00
TK-72757,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-07 10:00
TK-94162,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-03 00:00
TK-29074,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-03 18:00
TK-51475,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-09 21:00
TK-50973,VVIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,已結案,2026-05-11 17:00
TK-15218,一般會員,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,已結案,2026-05-05 15:00
TK-14245,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-13 23:00
TK-24057,VVIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-11 17:00
TK-66670,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,處理中,2026-05-06 07:00
TK-16315,一般會員,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-02 01:00
TK-33575,一般會員,活動送的贈品根本沒拿到，是不是漏放了？,已結案,2026-05-12 05:00
TK-18943,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-12 06:00
TK-73374,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,處理中,2026-05-12 22:00
TK-98873,VIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,已結案,2026-05-06 07:00
TK-71267,VVIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-01 05:00
TK-99342,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-02 11:00
TK-52697,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-12 16:00
TK-21139,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,處理中,2026-05-13 09:00
TK-65457,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-02 20:00
TK-30746,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-11 11:00
TK-75404,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-04 20:00
TK-91250,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-04 22:00
TK-70728,VVIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-07 15:00
TK-84651,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,已結案,2026-05-09 02:00
TK-80208,VVIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-03 10:00
TK-34176,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-07 06:00
TK-69441,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-12 00:00
TK-95948,VVIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-12 12:00
TK-35062,一般會員,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-13 00:00
TK-36567,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-07 11:00
TK-48343,一般會員,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,已結案,2026-05-12 07:00
TK-75026,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,處理中,2026-05-09 09:00
TK-22522,VVIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,已結案,2026-05-01 22:00
TK-17455,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-15 08:00
TK-76354,一般會員,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,處理中,2026-05-12 01:00
TK-39495,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-12 03:00
TK-45192,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-08 06:00
TK-46973,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-10 05:00
TK-41087,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-15 20:00
TK-76943,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-05 19:00
TK-92778,VVIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-05 18:00
TK-54096,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,已結案,2026-05-10 23:00
TK-34324,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-11 13:00
TK-46796,VIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-09 14:00
TK-65208,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-05 10:00
TK-45600,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-07 19:00
TK-50720,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-05 13:00
TK-86447,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-12 15:00
TK-46365,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-01 07:00
TK-42562,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-02 20:00
TK-73047,一般會員,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-07 12:00
TK-75517,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,未處理,2026-05-12 04:00
TK-54038,一般會員,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-02 16:00
TK-16508,一般會員,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,未處理,2026-05-03 15:00
TK-22430,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-03 09:00
TK-74604,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-07 20:00
TK-28154,VVIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-01 04:00
TK-89269,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-06 16:00
TK-32756,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-09 16:00
TK-87494,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-06 11:00
TK-25350,VVIP,活動送的贈品根本沒拿到，是不是漏放了？,處理中,2026-05-12 07:00
TK-75833,VVIP,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-02 14:00
TK-27546,VVIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,處理中,2026-05-10 22:00
TK-65608,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,已結案,2026-05-06 01:00
TK-29502,一般會員,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,處理中,2026-05-02 00:00
TK-91449,VIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-13 00:00
TK-99103,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,未處理,2026-05-09 00:00
TK-86234,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-12 19:00
TK-38881,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-13 01:00
TK-71471,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-07 22:00
TK-46135,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-15 18:00
TK-12287,一般會員,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,處理中,2026-05-13 10:00
TK-13633,VIP,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,已結案,2026-05-14 06:00
TK-88350,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-10 08:00
TK-76853,VVIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-08 01:00
TK-65510,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-05 01:00
TK-85484,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,處理中,2026-05-09 00:00
TK-64545,一般會員,昨天客服小姐的態度很差，問個問題很不耐煩，請主管出來說明！,未處理,2026-05-05 11:00
TK-88542,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-03 07:00
TK-92542,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-12 13:00
TK-99726,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,已結案,2026-05-10 13:00
TK-51424,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-09 12:00
TK-59982,VIP,網頁版可以正常登入，但APP版一直顯示帳號密碼錯誤，請盡快修復！,已結案,2026-05-04 02:00
TK-59638,一般會員,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,處理中,2026-05-12 00:00
TK-66189,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-03 07:00
TK-80286,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-13 00:00
TK-78362,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-06 16:00
TK-68841,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,處理中,2026-05-08 02:00
TK-83383,VIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,已結案,2026-05-14 12:00
TK-48709,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-07 05:00
TK-76130,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,已結案,2026-05-13 17:00
TK-88666,一般會員,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-11 03:00
TK-37901,VVIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-03 11:00
TK-23343,一般會員,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,未處理,2026-05-11 11:00
TK-43052,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-05 10:00
TK-90875,VVIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-05 06:00
TK-62207,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-01 00:00
TK-14532,VVIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,已結案,2026-05-07 10:00
TK-12574,VIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-11 23:00
TK-63630,VIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-10 18:00
TK-99479,一般會員,每次點開商品詳情都要等很久，是伺服器又當了嗎？,未處理,2026-05-12 06:00
TK-72817,VVIP,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,已結案,2026-05-10 00:00
TK-43581,VIP,請問你們有實體店面可以看實品嗎？線上買實在有點不放心。,未處理,2026-05-09 20:00
TK-10644,VIP,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-03 04:00
TK-66651,VVIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-08 05:00
TK-36187,VVIP,每次點開商品詳情都要等很久，是伺服器又當了嗎？,已結案,2026-05-05 13:00
TK-69708,一般會員,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-11 18:00
TK-44064,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,已結案,2026-05-10 10:00
TK-52221,一般會員,我昨天明明有使用優惠碼，為什麼結帳還是原價？你們是在騙人嗎？,未處理,2026-05-05 02:00
TK-66937,VVIP,忘記密碼收不到認證信，連垃圾信件匣都找過了，請協助處理。,未處理,2026-05-02 13:00
TK-18095,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,未處理,2026-05-02 19:00
TK-48209,VIP,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,已結案,2026-05-05 20:00
TK-98006,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-06 17:00
TK-48645,一般會員,可以不要一直跳出那個煩人的蓋版廣告嗎？嚴重影響閱讀體驗！,未處理,2026-05-15 21:00
TK-90095,一般會員,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,已結案,2026-05-03 14:00
TK-78596,一般會員,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-11 04:00
TK-26562,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-12 02:00
TK-35338,VIP,客服打不通，寫信也沒人回，你們還當我是VVIP嗎？每個月繳那麼多錢是給你們裝死的？,未處理,2026-05-08 13:00
TK-29969,一般會員,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,未處理,2026-05-14 16:00
TK-20764,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,已結案,2026-05-06 12:00
TK-48671,VIP,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-11 15:00
TK-51372,VVIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,未處理,2026-05-01 12:00
TK-88015,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,處理中,2026-05-07 02:00
TK-20224,VIP,我覺得你們的會員制度越來越不划算，下個月我要取消訂閱了。,未處理,2026-05-03 00:00
TK-97093,一般會員,這件衣服的尺寸跟網頁上寫的完全不一樣，我要退貨，請派人來收！,未處理,2026-05-05 21:00
TK-43602,一般會員,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,已結案,2026-05-14 01:00
TK-49351,VVIP,說好24小時到貨，這都第三天了，物流到底在搞什麼？,未處理,2026-05-09 17:00
TK-63345,VIP,你們的APP 一直閃退，重裝好幾次都一樣，是我的手機問題還是你們的Bug？,處理中,2026-05-09 22:00
TK-52240,VIP,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,已結案,2026-05-07 03:00
TK-54923,VVIP,我想要更改收件地址，但訂單狀態顯示已出貨，還來得及改嗎？,已結案,2026-05-11 16:00
TK-16251,一般會員,結帳頁面卡住，重整後竟然扣款兩次，太誇張了吧，請馬上幫我刷退其中一筆！,處理中,2026-05-11 23:00
TK-51748,一般會員,新版介面真的很難用，找個結帳按鈕找了半天，可以換回舊版嗎？,已結案,2026-05-09 07:00
TK-40520,VIP,送來的商品包裝都破損了，裡面的東西也有刮傷，我要求立刻換貨！,未處理,2026-05-10 12:00
TK-26171,VIP,為什麼我刷卡一直失敗？試了三張卡都一樣！氣死我了，這什麼爛系統！,未處理,2026-05-01 00:00
TK-72824,一般會員,發票沒有打統編，可以幫我作廢重開嗎？急需報帳使用！,未處理,2026-05-04 17:00
TK-94498,VIP,更新後我的點數都不見了，原本有 3000 點耶，請立刻幫我查清楚並補回來！,已結案,2026-05-05 08:00
